,fi,en,,,NOTES – use \n for newline,max length
menu_streaming_distribution_hint,Kauhea = hyvin todennäköisesti pilata ajaa .. \nBad = huonoja asioita voi tapahtua. \nNeutral = ei välttämättä Goot tai huonoja. \nGood = lisää terveyttä ja muita hyödyllisiä tapahtumia.,Awful = very likely to ruin your run..\nBad = bad things can happen.\nNeutral = not necessarily goot or bad.\nGood = more health and other helpful events.,,,,
menu_streaming_distribution_awful,hirveä,Awful,,,,
menu_streaming_distribution_bad,Huono,Bad,,,,
menu_streaming_distribution_neutral,Neutraali,Neutral,,,,
menu_streaming_distribution_good,Hyvä,Good,,,,
menu_streaming_usernames_ghosts,Tiny haamut voidaan nimetty katsojille: $0,Tiny ghosts can be named after viewers: $0,,,,
menu_streaming_usernames_rats,Rotat voidaan nimetty katsojille: $0,Rats can be named after viewers: $0,,,,
menu_streaming_installmods,Asenna streaming integraatio modit,Install streaming integration mods,,,,
menu_streaming_mod,Streaming integraatio sisältöä mod,Streaming integration content mod,,,,
streaming_integration_connectionerror,Yhteysvirhe!,Connection error!,,,,
streaming_integration_nextvotein,Seuraava äänestys $0 s,Next vote in $0 s,,,,
streaming_integration_voteendsin,Äänestäminen päättyy $0 s,Voting ends in $0 s,,,,
streaming_integration_voteoptionformat,$0 ($1) <$2,$0 ($1) <$2,,,,
streaming_integration_votetie,Se on tasapeli! Poiminta satunnainen voittaja,It's a tie! Picking random winner,,,,
streaming_integration_winner,Voittaja on:,The winner is:,,,,
menu_replayedit_writinggif,Kirjoittaminen gif - odota - paina $0 peruuttaa,Writing gif - please wait – press $0 to cancel,,,,
menu_replayedit_writinggif_frameprogress,Runko - $0 / $1 - $2%:,Frame - $0 / $1 - $2%,,,,
menu_replayedit_writinggif_timeremaining,$0 s jäljellä,$0 s remaining,,,,
menu_replayedit_returntogame,Paluu pelin $0,Return to game $0,,,,
menu_replayedit_title_keyboard_exp,TOISTA CLIP EDITOR (kokeellinen) - Oikea / Vasen klikkaa kehyksiä asettaa leikkeen alku- ja loppupisteet.,REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.,,,,
menu_replayedit_title_gamepad_exp,TOISTA CLIP EDITOR (kokeellinen) - [A] - ja käynnistää leikkeen hovered runko. [B] - pää leikkeen hovered runko.,REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.,,,,
menu_replayedit_title_keyboard,REPLAY CLIP EDITOR - Oikea / Vasen klikkaa kehyksiä asettaa leikkeen alku- ja loppupisteet.,REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.,,,,
menu_replayedit_title_gamepad,REPLAY CLIP EDITOR - [A] - aloita leikkeen leijaili runkoon. [B] - pää leikkeen hovered runko.,REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.,,,,
menu_replayedit_saveasgif,Tallenna GIF [ENTER],Save as Gif [ENTER],,,,
menu_replayedit_opengifdir,Avoin gif hakemisto,Open gif directory,,,,
menu_replayedit_size,Koko:,Size:,,,,
menu_replayedit_full,Koko,Full,,,,
menu_replayedit_sizeformat,$0x $1,$0x$1,,,,
menu_replayedit_outputscale,Lähtö mittakaavassa: $0%,Output scale: $0%,,,,
menu_replayedit_outputinfo1,Lähtö: $0 kehystä - $1s,Output: $0 frames - $1s,,,,
menu_replayedit_outputinfo2,- $0x $1 px,- $0x$1 px,,,,
menu_replayedit_startclip_gamepad,[A] - aloita leikkeen leijaili runkoon.,[A] - start clip on hovered frame.,,,,
menu_replayedit_startclip_keyboard,Vasen klikkaa - aloita leikkeen leijaili runkoon.,Left click - start clip on hovered frame.,,,,
menu_replayedit_endclip_gamepad,[B] - pää leikkeen hovered runko.,[B] - end clip on hovered frame.,,,,
menu_replayedit_endclip_keyboard,Aivan click - end leikkeen leijaili runkoon.,Right click - end clip on hovered frame.,,,,
menu_replayedit_frame,Frame = $0,Frame = $0,,,,
menu_replayedit_imagecenter,Vasen klikkaa - poloidaan keskus.,Left click - set image center.,,,,
progress_new,$0 (uusi),$0 (new),,,,
log_golden_statue,Poimi kultainen patsas,Picked a golden statue,,,,
logdesc_golden_statue,Sait $0 Kulta!,You got $0 gold!,,,,
logdesc_heart_evil,Lisääntynyt suurin terveyden $0 ... kustannusten kanssa kirousta!,Increased maximum health to $0 ...with the cost of being cursed!,,,,
log_altar_magic,Uteliaisuutta palkitaan,Your curiosity is rewarded,,,,
log_altar_magic_monster,"Uteliaisuus palkitaan, mutta ...","Your curiosity is rewarded, but...",,,,
log_altar_magic_worm,Se ei ole mitä etsit!,That is not what you seek!,,,,
log_moon_altar,Neljästä tee- paljastaa salaisuuden,The four essences reveal their secret,,,,
logdesc_moon_altar,Kuun muna halkeilee. Sen sisältö on avattu,The moon's egg cracks open. Its contents have been unlocked,,,,
logdesc_moon_altar_drunk,Kuu roiskeet ja avaa sen inebriating sisältöä,The moon spills and unlocks its inebriating contents,,,,
log_heart_fullhp_temple,Kyytiin kaikki terveyteen Regeneration,Picked up Full Health Regeneration,,,,
logdesc_heart_fullhp_temple,Lisääntynyt maksimi terveydelle $0 palautettu terveys $1 (takaisin $2 Terveyttä),Increased maximum health by $0 and restored health to $1 (regained $2 health),,,,
log_worm_deflector_death,Mato Crystal on murskattu!,The worm crystal has shattered!,,,,
logdesc_worm_deflector_death,Sinusta tuntuu vähemmän turvallinen ...,You feel less safe...,,,,
logdesc_heart_fullhp,Palautettu terveys 0 $ (takaisin $1 Terveyttä),Restored health to $0 (regained $1 health),,,,
log_ocarina,Ympäröivää maailmaa muuttuu!,The world around you changes!,,,,
logdesc_ocarina,Musiikkisi julkaisi outoa energiat,Your music released strange energies,,,,
log_ocarina_done,Tuntuu musiikillinen energia on mennyt ...,Seems like the musical energy is gone...,,,,
log_overingestion_00,Olet tukehtuminen elintarvikkeiden,You're choking on food,,,,
log_overingestion_01,Syöminen enää voi tappaa sinut,Eating any more might kill you,,,,
log_overingestion_02,Olet tukehtuminen elintarvikkeiden,You're choking on food,,,,
log_overingestion_03,Syöminen enää voi tappaa sinut,Eating any more might kill you,,,,
log_overingestion_04,Olet tukehtuminen elintarvikkeiden,You're choking on food,,,,
log_overingestion_05,Syöminen enää voi tappaa sinut,Eating any more might kill you,,,,
log_overingestion_exploding_00,Olet tupaten täynnä,You're bursting at the seams,,,,
log_overingestion_exploding_01,Et tunne kuin saat pian räjähtää,You're feeling like you'll soon explode,,,,
log_overingestion_exploding_02,Olet tupaten täynnä,You're bursting at the seams,,,,
log_overingestion_exploding_03,Et tunne kuin saat pian räjähtää,You're feeling like you'll soon explode,,,,
log_overingestion_exploding_04,Et tunne räjähtävän kireys vatsassa,You're feeling an explosive tightness in your stomach,,,,
log_overingestion_exploding_05,Et tunne räjähtävän kireys vatsassa,You're feeling an explosive tightness in your stomach,,,,
log_kantele,Ympäröivää maailmaa muuttuu!,The world around you changes!,,,,
logdesc_kantele,Musiikkisi julkaisi outoa energiat,Your music released strange energies,,,,
log_kantele_done,Tuntuu musiikillinen energia on mennyt ...,Seems like the musical energy is gone...,,,,
log_alchemist_key_first,Avain alkaa hyräillä!,The key begins to hum!,,,,
logdesc_alchemist_key_first,Jotain puuttuu vielä ...,Something is still missing...,,,,
log_alchemist_key_second,Avain alkaa kuiskaus!,The key begins to whisper!,,,,
logdesc_alchemist_key_second,”En voi antaa sinulle niin paljon vastineeksi ...”,”I can give you so much in exchange for...”,,,,
log_alchemist_key_invalid,Mikään ei näyttänyt tapahtuvan ...,Nothing seemed to happen...,,,,
log_alchemist_chest_open,Lasi avain puhuu!,The glass key speaks!,,,,
logdesc_alchemist_chest_open,Rinnassa kuuntelee,The chest listens,,,,
log_alchemist_chest_opened,Lasin avain puhuu taas!,The glass key speaks again!,,,,
logdesc_alchemist_chest_opened,Rinnassa pitää kuunteluun,The chest keeps listening,,,,
log_castdelaying,CAST DELAY ...,CAST DELAY...,,,,
log_weathercrystal_broken,Kironnut ahneus!,Cursed by greed!,,,,
logdesc_weathercrystal_broken,Toiveenne aarteita varmasti oman tuhonsa.,Your desire for treasures will surely be your undoing.,,,,
log_curse_fade,Kirous häviää,The curse fades away,,,,
logdesc_curse_fade,Olet turvassa uudelleen ... nyt,You're safe again... for now,,,,
logdesc_gods_are_impressed,Jumalat ovat hyvin vaikuttuneita sinua,The Gods are very impressed with you,,,,
logdesc_gods_are_afraid,Jumalat pelkäävät,The Gods are afraid,,,,
logdesc_gods_are_curious,Jumalat ovat hyvin uteliaita,The Gods are very curious,,,,
logdesc_temple_peace_temple_break,Jumalat näkevinään,The Gods look the other way,,,,
log_altar_success_00,Jumalat hyväksy uhria,The Gods accept your sacrifice,,,,
log_altar_success_01,Jumalat ovat tyytyväisiä uhrinne,The Gods are satisfied with your sacrifice,,,,
log_altar_success_02,Jumalat ovat tyytyväisiä uhrinne,The Gods are happy with your sacrifice,,,,
log_altar_fail_00,Jumalat eivät ole tyytyväisiä uhrinne,The Gods aren't happy with your sacrifice,,,,
log_altar_fail_01,Jumalat pilkkaavat teidän kouluttamaton uhrauksia,The Gods sneer at your untrained sacrifice,,,,
log_altar_fail_02,Jumalat pilkkaavat oman raakaöljyn uhrinsa,The Gods mock your crude sacrifice,,,,
log_altar_fail_03,Jumalat halveksia teidän lukutaidottomia uhrauksia,The Gods scorn at your illiterate sacrifice,,,,
log_reality_mutation_00,Sinun todellisuus ravistellaan,Your reality is shaken,,,,
log_reality_mutation_01,Aistitko asiat eivät ole enää mitä he olivat ennen,You sense things are no longer what they used to be,,,,
log_reality_mutation_02,Sinusta tuntuu jokin on muuttunut,You feel something has changed,,,,
log_reality_mutation_03,Tunnet säännöt Cosmos ovat siirtyneet,You feel the rules of the Cosmos have shifted,,,,
log_reality_mutation_04,Aistitko todellisuus on muuttunut,You sense the reality has shifted,,,,
log_reality_mutation_05,Todellisuus on siirtynyt,The reality has shifted,,,,
status_reality_mutation,Todellisuus on siirtynyt,The reality has shifted,,,,
statusdesc_reality_mutation,Aistitko asiat eivät ole enää mitä ne käytetään olla.,You sense things are no longer what they used to be.,,,,
booktitle_allspells,Kartta Gnosis,Map of Gnosis,,,,
bookdesc_allspells,"Kukaan muu kuin sinä on opettaja totuus \nwherever ja mistä tahansa lähteestä on ilmeistä. \n \nVoit kuule mitään todellista minulta josta et ole ensin kertoi. \n \nTruth, milloin ikinä onnistu kävelemään minulle \nteaching minulle mitä välttää ja mitä etsiä .... \nWithout sinä voisin havaita mitään näistä asioista.","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.",,,,
reward_gold_statue,kultainen patsas,Golden statue,,,,
reward_clock,Omistettu 5 minuuttia,Dedicated to 5 minutes,,,,
reward_minit,1 minuutti?!,1 minute?!,,,,
reward_nolla,ei kulta,No gold,,,,
reward_dollar,Kaikki rahat,All the monies,,,,
reward_peace,Pasifisti,Pacifist,,,,
reward_crown,kuningas,King,,,,
reward_nohit,vahingoittumaton,Undamaged,,,,
controls_use,vuorovaikutuksessa,interact,,,,
controls_replayeditopen,save replay,save replay,,,,
controls_usewand,käyttöä sauva,use wand,,,,
teleport_mystery,Portal Tower,Portal to the Tower,,,,
teleport_mystery_back,Portaali takaisin Mountain,Portal back to the Mountain,,,,
teleport_world,Portaali kaukaisessa maassa,Portal to a faraway land,,,,
teleport_deeper,Portal syvemmälle,Portal deeper,,,,
teleport_ending,Portal laboratorioon,Portal to The Laboratory,,,,
teleport_ending_victory,Portaali Work,Portal to The Work,,,,
teleport_end_wall,Portaali Crystal holviin,Portal to Crystal vault,,,,
teleport_generic,Portaali,Portal,,,,
teleport_back,Portal takaisin,Portal back,,,,
gamemode_normal,Uusi peli,New Game,,,,
gamemode_normal_desc,Tutustu uuteen maailmaan. \nAlkuperäistä Noita kokemus.,Explore a new world.\nThe original Noita experience.,,,,
gamemode_dailyrun,päivittäinen Run,Daily Run,,,,
gamemode_dailyrun_desc,"Uusi päivä, uusi maailma. \nKaikki alkavat kohteita ovat satunnaistettuja. \nEvery pelaaja pelaa samaa siemen. \nolla varovainen, voit pelata vain kerran 24 tunnissa.","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.",,,,
gamemode_nightmare_exp,Painajainen (kokeellinen),Nightmare (experimental),,,,
gamemode_nightmare,Painajainen,Nightmare,,,,
gamemode_nightmare_desc,Entistä haastava kokemus. \nunlock tätä tilaa täyttämällä peli.,For a more challenging experience.\nUnlock this mode by completing the game.,,,,
gamemode_newgameplus,New Game + (kokeellinen),New Game+ (experimental),,,,
gamemode_newgameplus_desc,Entistä haastava kokemus. \nunlock tätä tilaa täyttämällä peli.,For a more challenging experience.\nUnlock this mode by completing the game.,,,,
gamemode_laboratory,Spell Lab,Spell Lab,,,,
gamemode_laboratory_desc,Leikkiä taikuutta sydämesi kyllyydestä. \nDeath ei ole ongelma. \nunlock uusia loitsuja tässä tilassa valamalla.,Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.,,,,
gamemode_comingsoon,Tulossa pian!,Coming soon!,,,,
gamemode_comingsoon_desc,Se on mysteeri.,It's a mystery.,,,,
gamemode_nightmare_desc_PETRI_is_this_correct_new_nightmare_description,Joka päivä uusi suorita asennus ja \n mahdollisuus pelata myöhemmin biomes. \n Play saman siemenen niin monta kertaa kuin haluat.,Every day a new run setup and a\n chance to play later biomes.\n Play the same seed as many times as you want.,,,,
gamemode_daily_practice_run,Päivittäinen käytäntö ajaa,Daily Practice Run,,,,
gamemode_daily_practice_run_desc,"Aloita pakenee Satunnaistetussa paikalla, \nKun satunnaistettiin kohteita. \nVoit kokeilla saman siemenen niin monta kertaa kuin haluat \nwithin 24 tuntia.","Start a run from a randomized spot,\nwith randomized items.\nYou can try the same seed as many times as you like\nwithin 24 hours.",,,,
new_game_for_newgame_plus,UUSI PELI,NEW GAME,,,,
building_worm_deflector,mato Crystal,Worm crystal,,,,
stat_modsenabled,Modit käytössä:,Mods enabled:,,,,
damage_curse,kirous,curse,,,,
damage_rock_curse,kirottu kallio,cursed rock,,,,
damage_overeating,ylensyöntiä,overeating,,,,
damage_midas,Midas,midas,,,,
menureleasenotes_betawarning,"Tervetuloa Noita 1.0 Beta-versio! \nolla varoitti, peli on todennäköisesti epävakaampi täällä verrattuna master haara. \nHappy noiting!","Welcome to the Noita 1.0 Beta version!\nBe warned, the game will probably be less stable here compared to the master branch.\nHappy noiting!",,,,
menureleasenotes_betawarning2,"Tervetuloa Noita beta haara! \nolla varoitti, peli on todennäköisesti epävakaampi täällä verrattuna master haara.","Welcome to the Noita beta branch!\nBe warned, the game will probably be less stable here compared to the master branch.",,,,
inventory_chargecapacity_tooltip,Varauksen määrä tämän sauva voi tallentaa.,The amount of charge this wand can store.,,,,
infinity_symbol,∞,∞,,,,
credits_game_by,Peli,A GAME BY,,,,
ingestion_status_caused_by,Syy: Nauttiminen $0.,Cause: Ingesting $0.,,,,
ingestion_status_caused_by_many,Syy: Nauttiminen $0 enemmän.,Cause: Ingesting $0 and more.,,,,
ingestion_status_caused_by_overingestion,Syy: ylensyöntiä,Cause: Overeating,,,,
status_confusion,Hämmentynyt,Confused,,,,
statusdesc_confusion,Sinulle epäselviä.,You feel confused.,,,,
status_movement_faster,Rasvattu salama.,Greased lightning.,,,,
statusdesc_movement_faster,Sinusta tuntuu erittäin nopeasti.,You feel extremely fast.,,,,
status_worm_attractor,mato ruoka,Worm food,,,,
statusdesc_worm_attractor,"Sinusta tuntuu siltä, ​​että olet tulevaisuuden madon ruokaa.",You feel like you're future worm food.,,,,
status_protection_all,Suojaa kaikki,Protection from all,,,,
statusdesc_protection_all,Sinusta tuntuu oudolta vahvuus elimistössä.,You feel strange strength in your body.,,,,
status_mana_regeneration,manaa uudistaminen,Mana regeneration,,,,
statusdesc_mana_regeneration,Saat manaa takaisin nopeammin.,You gain mana back faster.,,,,
status_internal_fire,sisäinen palo,Internal fire,,,,
statusdesc_internal_fire,Poltat sisällä.,You're burning inside.,,,,
status_cryptpoison,Antiikin myrkky myrkytys,Ancient venom poisoning,,,,
statusdesc_cryptpoison,Menetät terveys kunnes olet löytänyt harvinainen vastalääkettä.,You lose health until you locate a rare antidote.,,,,
status_satiated00,minimaalisesti satiated,Minimally satiated,,,,
